バージョン,タイトル,ジャンル,アーティスト,プレー回数,BEGINNER 難易度,BEGINNER スコア,BEGINNER PGreat,BEGINNER Great,BEGINNER ミスカウント,BEGINNER クリアタイプ,BEGINNER DJ LEVEL,NORMAL 難易度,NORMAL スコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER スコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER スコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,LEGGENDARIA 難易度,LEGGENDARIA スコア,LEGGENDARIA PGreat,LEGGENDARIA Great,LEGGENDARIA ミスカウント,LEGGENDARIA クリアタイプ,LEGGENDARIA DJ LEVEL,最終プレー日時
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,1,0,0,0,0,---,NO PLAY,---,1,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1306,594,118,47,CLEAR,AA,0,0,0,0,---,NO PLAY,---,2025-04-30 20:34
1st&substream,deep in you,DANCE POP,dj nagureo,2,0,0,0,0,---,NO PLAY,---,3,510,234,42,4,HARD CLEAR,AAA,4,0,0,0,---,NO PLAY,---,7,598,264,70,10,CLEAR,AA,0,0,0,0,---,NO PLAY,---,2025-08-28 11:01
1st&substream,GAMBOL,BIG BEAT,SLAKE,1,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,CLEAR,---,2,200,97,6,3,CLEAR,A,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-02-16 16:27
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,CLEAR,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
1st&substream,gentle stress,DRUM'N'BASS,DJ Swan,1,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,FAILED,---,5,0,0,0,---,NO PLAY,---,9,1362,618,126,7,CLEAR,AA,0,0,0,0,---,NO PLAY,---,2025-06-13 18:39
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,9,962,404,154,25,CLEAR,A,0,0,0,0,---,NO PLAY,---,2025-08-26 09:12
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,3,0,0,0,0,---,NO PLAY,---,2,222,104,14,1,CLEAR,AAA,3,229,108,13,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-06-19 22:02
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,1,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,11,1021,406,209,94,FAILED,B,11,0,0,0,---,FAILED,---,0,0,0,0,---,NO PLAY,---,2024-12-22 12:40
1st&substream,PARANOIA MAX～DIRTY MIX～,JUNGLE,190,1,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,CLEAR,---,6,701,314,73,9,CLEAR,AA,9,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2025-08-07 21:00
1st&substream,R3,RAVE,tiger YAMATO,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,720,301,118,29,CLEAR,A,0,0,0,0,---,NO PLAY,---,2025-08-26 09:07
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,14,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,CLEAR,---,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,CLEAR,---,12,1585,675,235,119,EASY CLEAR,B,2025-07-23 19:31
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,7,898,357,184,20,CLEAR,A,0,0,0,0,---,NO PLAY,---,2025-08-11 11:35
2nd style,.59,CHILL OUT,dj TAKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,FAILED,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,1003,441,121,29,FAILED,AA,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-05-01 18:21
2nd style,I Was The One,ITALO HOUSE,good-cool,0,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,NO PLAY,---,2,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
2nd style,PUT YOUR FAITH IN ME(for beatmania II),JAZZ FUNK,dj TAKA feat. UZI-LAY,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
3rd style,Don't Stop!,HAPPY HANDBAG,dj TAKA feat. JP Miles,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
3rd style,era (nostalmix),DRUM'N'BASS,TaQ,10,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,CLEAR,---,12,1535,672,191,79,CLEAR,AA,12,1782,719,344,110,ASSIST CLEAR,A,0,0,0,0,---,NO PLAY,---,2025-08-14 15:49
3rd style,Holic,HARD TECHNO,TaQ,4,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,FAILED,---,10,0,0,0,---,FAILED,---,12,1421,547,327,193,FAILED,B,0,0,0,0,---,NO PLAY,---,2025-08-26 09:14
3rd style,LEADING CYBER,DIGI-ROCK,dj TAKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,FAILED,---,6,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
3rd style,Presto,PIANO AMBIENT,Osamu Kubota,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,CLEAR,---,8,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
3rd style,R5,RAVE,tigerYAMATO with ultrabeatbox,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1593,747,99,41,CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2025-06-03 18:05
3rd style,REINCARNATION,TRANCE,dj TAKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,FAILED,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
3rd style,Schlagwerk,BIG BEAT,TaQ,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,11,0,0,0,---,CLEAR,---,11,0,0,0,---,FAILED,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
3rd style,Tangerine Stream,AMBIENT,dj TAKA,0,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,CLEAR,---,3,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
3rd style,THE SAFARI,WORLD HOUSE,Lion Musashi,0,0,0,0,0,---,NO PLAY,---,8,0,0,0,---,FAILED,---,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
4th style,250bpm,GABBA,AKIRA YAMAOKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,9,0,0,0,---,FAILED,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
4th style,B4U,SPEED RAVE,NAOKI,0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
4th style,Broken My Heart,HYPER EUROBEAT,NAOKI feat.PAULA TERRY,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1423,622,179,83,ASSIST CLEAR,AA,0,0,0,0,---,NO PLAY,---,2025-06-13 18:57
4th style,Burnin' The Floor,EURO GROOVE,NAOKI,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
4th style,CHECKING YOU OUT,HIP HOP,good-cool feat. JP Miles,0,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,11,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
4th style,Clione,DUTCH TRANCE,kors k,2,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,CLEAR,---,11,1925,855,215,29,HARD CLEAR,AA,2025-03-24 20:39
4th style,DXY!,TECHNO,TaQ,5,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,CLEAR,---,12,1880,731,418,112,EASY CLEAR,A,12,1850,660,530,230,FAILED,B,0,0,0,0,---,NO PLAY,---,2025-06-03 19:36
4th style,empathy,DRUM'N'BASS,TaQ,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,CLEAR,---,11,1393,561,271,94,CLEAR,A,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2025-03-23 10:54
4th style,era (step mix),DRUM'N'BASS,TaQ,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,12,1758,726,306,123,ASSIST CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-12-23 14:13
4th style,Hitch Hiker2,WARP HOUSE,good-cool,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,9,0,0,0,---,CLEAR,---,10,0,0,0,---,FAILED,---,2024-10-09 10:59
4th style,LOVE WILL・・・,TRANCE,riewo,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2024-10-09 10:59
4th style,minimalian,MINIMAL,DETROIAN,2,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,CLEAR,---,9,0,0,0,---,CLEAR,---,12,1315,542,231,169,FAILED,B,0,0,0,0,---,NO PLAY,---,2025-04-15 17:18
4th style,starmine,HAPPY HARDCORE,Ryu☆,9,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,12,1764,769,226,57,CLEAR,AA,0,0,0,0,---,NO PLAY,---,2025-06-19 10:56
4th style,SWEET LAB,LOUNGE HOUSE,DJ SIMON,10,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,942,375,192,78,ASSIST CLEAR,B,0,0,0,0,---,NO PLAY,---,2025-08-31 22:37
